combination,generation,Cmax,percentage
hard_nearest_tournament,34,1172,-0.02897278314310799
hard_nearest_tournament,35,1172,-0.02897278314310799
hard_nearest_tournament,36,1172,-0.02897278314310799
hard_nearest_tournament,37,1172,-0.02897278314310799
hard_nearest_tournament,38,1172,-0.02897278314310799
hard_nearest_tournament,39,1172,-0.02897278314310799
hard_nearest_tournament,40,1172,-0.02897278314310799
hard_nearest_tournament,41,1172,-0.02897278314310799
hard_nearest_tournament,42,1172,-0.02897278314310799
hard_nearest_tournament,43,1172,-0.02897278314310799
hard_nearest_tournament,44,1172,-0.02897278314310799
hard_nearest_tournament,45,1172,-0.02897278314310799
hard_nearest_tournament,46,1172,-0.02897278314310799
hard_nearest_tournament,47,1172,-0.02897278314310799
hard_nearest_tournament,48,1172,-0.02897278314310799
hard_nearest_tournament,49,1172,-0.02897278314310799
hard_nearest_tournament,50,1172,-0.02897278314310799
hard_nearest_tournament,51,1172,-0.02897278314310799
hard_nearest_tournament,52,1172,-0.02897278314310799
hard_nearest_tournament,53,1172,-0.02897278314310799
hard_nearest_tournament,54,1172,-0.02897278314310799
hard_nearest_tournament,55,1172,-0.02897278314310799
hard_nearest_tournament,56,1172,-0.02897278314310799
hard_nearest_tournament,57,1172,-0.02897278314310799
